0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:27 +0530] "GET /MyWebApp/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:27 +0530] "GET /MyWebApp/assets/lib/et-line-font/fonts/et-line.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:27 +0530] "GET /MyWebApp/assets/lib/components-font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:28 +0530] "GET /MyWebApp/assets/images/shop/slider3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:28 +0530] "GET /MyWebApp/assets/images/shop/slider1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:29 +0530] "GET /images/prev-light.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:29 +0530] "GET /images/next-light.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:29 +0530] "GET /MyWebApp/assets/lib/flexslider/fonts/flexslider-icon.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/Index HTTP/1.1" 200 48083
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/animate.css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/components-font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/flexslider/flexslider.css HTTP/1.1" 200 6851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/owl.carousel/dist/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/owl.carousel/dist/assets/owl.theme.default.min.css HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/css/style.css HTTP/1.1" 200 50522
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/css/colors/default.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/magnific-popup/dist/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/et-line-font/et-line-font.css HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/css/model.css HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:40 +0530] "GET /MyWebApp/assets/lib/simple-text-rotator/simpletextrotator.css HTTP/1.1" 200 3250
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:41 +0530] "GET /MyWebApp/assets/lib/jquery/dist/jquery.js HTTP/1.1" 200 267194
